Number,Name,Explanation,AT,DF,Buff,Special,Turn,FluctuationPlus,,Type,SE
int,string,string,int,int,int,int,int,int,,int,int
0,なにもしない,なにもしない,0,0,0,0,1,0,,0,0
1,突進,通常攻撃,5,0,0,0,5,1,,0,2
2,まるまる,防御,0,7,0,0,5,1,,1,7
3,ジャミング,攻撃弱体化,6,0,0,0,5,1,,0,4
4,体制崩し,防御弱体化,7,0,0,0,5,1,,0,2
5,ガードアタック,ガードアタック,7,7,0,0,7,2,,0,6
6,力を溜める,次の攻撃が２倍,0,0,0,0,3,0,,2,8
7,バリゾーゴン,通常攻撃,12,0,0,0,7,3,,0,6
8,,,,,0,0,,,,,
9,,,,,0,0,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
