explain,FileName,Path,Loop,Scene,exist,Number
string,string,string,int,string,int,int
単発ショット,Shot,Sound/SE/Fight/Shot/,0,Fight,1,0
連発ショット,BiShot,Sound/SE/Fight/Shot/,0,Fight,1,1
キャノン系,CannonShot,Sound/SE/Fight/Shot/,0,Fight,1,2
ビーム系,BeamShot,Sound/SE/Fight/Shot/,0,Fight,1,3
防御系,DiffenceShot,Sound/SE/Fight/Shot/,0,Fight,1,4
バフ系,BuffShot,Sound/SE/Fight/Shot/,0,Fight,1,5
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
